company_id,company,country,country_code,ca100,alignment_2030,alignment_2050,unit,cutoff_year,year,intensity_tco2_per_t,is_historical,data_type,source,source_file,source_url,accessed_date
1634,Baoshan Iron & Steel,China,CHN,Yes,Not Aligned,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2023,2043,0.6958,FALSE,projected,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1634,Baoshan Iron & Steel,China,CHN,Yes,Not Aligned,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2023,2044,0.5964,FALSE,projected,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1634,Baoshan Iron & Steel,China,CHN,Yes,Not Aligned,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2023,2045,0.497,FALSE,projected,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1634,Baoshan Iron & Steel,China,CHN,Yes,Not Aligned,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2023,2046,0.3976,FALSE,projected,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1634,Baoshan Iron & Steel,China,CHN,Yes,Not Aligned,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2023,2047,0.2982,FALSE,projected,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1634,Baoshan Iron & Steel,China,CHN,Yes,Not Aligned,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2023,2048,0.1988,FALSE,projected,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1634,Baoshan Iron & Steel,China,CHN,Yes,Not Aligned,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2023,2049,0.0994,FALSE,projected,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1634,Baoshan Iron & Steel,China,CHN,Yes,Not Aligned,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2023,2050,0,FALSE,projected,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1092,Bluescope Steel,Australia,AUS,Yes,National Pledges,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2023,2013,2.1,TRUE,historical,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1092,Bluescope Steel,Australia,AUS,Yes,National Pledges,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2023,2014,2.04,TRUE,historical,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1092,Bluescope Steel,Australia,AUS,Yes,National Pledges,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2023,2015,1.828,TRUE,historical,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1092,Bluescope Steel,Australia,AUS,Yes,National Pledges,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2023,2016,1.637,TRUE,historical,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1092,Bluescope Steel,Australia,AUS,Yes,National Pledges,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2023,2017,1.635,TRUE,historical,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1092,Bluescope Steel,Australia,AUS,Yes,National Pledges,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2023,2018,1.628,TRUE,historical,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1092,Bluescope Steel,Australia,AUS,Yes,National Pledges,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2023,2019,1.623,TRUE,historical,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1092,Bluescope Steel,Australia,AUS,Yes,National Pledges,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2023,2020,1.606,TRUE,historical,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1092,Bluescope Steel,Australia,AUS,Yes,National Pledges,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2023,2021,1.576,TRUE,historical,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1092,Bluescope Steel,Australia,AUS,Yes,National Pledges,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2023,2022,1.504,TRUE,historical,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
